title,video_id,new_title
Applied Physics for CV stream as Per VTU Syllabus- Damped oscillations in Kannada,2YOI3ANd7Rs,
Applied Physics for CV stream as Per VTU Syllabus- -Springs and combination of springs in Kannada,8Aq2IAb2GNc,
Applied Physics for CV stream in Kannada as Per VTU Syllabus- part-1,FGT9eYTY7tA,
K-CET-2025 Last minute preparations and precautions- In Kannada,yqK1q9zpDNI,Last Minute Preparations and Precautions | K-CET 2025 Prep | 2nd PUC in Kannada
KCET-2025-PHYSICS MODEL PAPER MCQSPART-4,_4HgpjVqDNc,Model Paper MCQs | KCET 2025 Prep | Part 4
KCET-2025 PHYSICS MCQs IN KANNADA -PART-3,iGEapc_NGBc,Physics MCQs | KCET 2025 Prep | Part 3
KCET-2025-PHYSICS SAMPLE MCQs IN KANNADA-PART-2,tykIYSiIkuo,Sample MCQs | KCET 2025 Prep | Part 2
KCET-PHYSICS MODEL PAPER DISCUSSION IN KANNADA-PART-1,nKiHbimmlIQ,Model Paper Discussion | KCET 2025 Prep | Part 1
II PUC PHYSICS- KCET-2025-GEOMETRICAL  OPTICS/RAY OPTICS IN KANNADA,dHZefYYQjNY,
"II PUC PHYSICS- KCET-2025-INTERFERENCE, DIFFRACTION AND POLARIZATION WAVE OPTICS IN KANNADA",ZNNn0BaygSk,"Interference, Diffraction and Polarization | KCET 2025 Physics Prep | 2nd PUC in Kannada"
II PUC PHYSICS- KCET-2025-SEMICONDUCTORS AND ELECTRONICS IN KANNADA,rRwQLwIZbvI,Semiconductors and Electronics | KCET 2025 Physics Prep | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-MOVING CHARGES AND MAGNETISM IN KANNADA,fwWyrFENZAo,Moving Charges and Magnetism | KCET 2025 Physics Prep | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-CURRENT ELECTRICITY IN KANNADA PART – 2,GoSwpRNDgEY,Current Electricity | KCET 2025 Physics Prep | Part 2 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-CURRENT ELECTRICITY IN KANNADA PART – 6,4vO7TbRtEIw,Current Electricity | KCET 2025 Physics Prep | Part 6 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-ELECTROSTATICS IN KANNADA PART – 6,lmv_LnNuRBc,Electrostatics | KCET 2025 Physics Prep | Part 6 | 2nd PUC in Kannada
II PUC PHYSICS- KCET-2025-ELECTROSTATICS IN KANNADA PART – 5,vT_ttjWgEvw,Electrostatics | KCET 2025 Physics Prep | Part 5 | 2nd PUC in Kannada
2nd PUC PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 4,j12lwaR_cOc,Electrostatics | CET 2025 Physics Prep | Part 4 | 2nd PUC in Kannada
II PUC PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 3,ngMgH4omgrQ,Electrostatics | CET 2025 Physics Prep | Part 3 | 2nd PUC in Kannada
PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 2,T6CNYh_IVUs,Electrostatics | CET 2025 Physics Prep | Part 2 | 2nd PUC in Kannada
PHYSICS- CET-2025-ELECTROSTATICS IN KANNADA PART – 1,gvitJ9X8VIc,Electrostatics | CET 2025 Physics Prep | Part 1 | 2nd PUC in Kannada
MCQ and 2 marks question and answers Moving charges and Magnetism – II PUC in Kannada,6D6lA2qBF7E,
Question Bank discussion-Answers to questions on Current electricity – II PUC in Kannada,7djll9-Di-4,
VTU Previous year question paper discussion on Physics of animation & statistical Physics-CSE stream,pdJ_Bjp6RhA,
5 Marks Derivations in Electrostatics and Capacitors-II PUC- Kannada,kYpNJv-Olp4,
Physics question bank MCQ on Electric potential and capacitor with solutions-II PUC- Kannada-part-1,u1LjB_QWW74,
Physics question bank problems on Electric charge and field with solutions-II PUC- Kannada-part-3,xX6ODTfsi18,
Physics question bank  on Electric charge and field with detailed solutions-II PUC- Kannada-part-2,VlbJcZpgkfQ,
Physics question bank questions on Electric charge and field with answers-II PUC- Kannada,8A08LZvJ3EY,
Problems on refraction at curved surfaces-Geometrical Optics in Kannada for II PUC-part-4,Ub8l1iTZDOc,
problems on Geometrical Optics in Kannada for II PUC-part-3,lI1AdU_XLZo,
problems on Geometrical Optics in Kannada for II PUC,-hSV8lbK1yM,
15. problems on Geometrical Optics in Kannada for II PUC,5VhUekC3-SE,
problems on AC circuits and Transformers in Kannada for II PUC,0BW1SXENYt0,
problems on EMI and AC circuits in Kannada for II PUC,BLEwGEgChS4,
problems on Kirchhoff’s laws in Kannada for II PUC,NGPwb2l7eNA,
Physics Model Paper -2023-24 detailed answers for SA and LA type questions - II PUC,zvIynZNELxY,
Physics Model Paper -3 detailed answers for SA and LA type questions - II PUC,dS465QF9ff4,
Physics Model Paper 2025-1 detailed answers for SA and LA type questions - II PUC-part-2,mxccfutqkyA,Physics Model Paper 2025-1 Detailed Answers | Exam Prep | Part 2 | 2nd PUC
Physics Model Paper 2025-1 detailed answers - II PUC-part-1,Kne-AxGjzMI,Physics Model Paper 2025-1 Detailed Answers | Exam Prep | Part 1 | 2nd PUC
VTU Physics for EEE stream-Previous year question paper -Maxwell equation and EM waves,b1g_6zpoRb4,
VTU Physics for EEE stream-Previous year question paper discussion-Laser and Optical Fiber,82ySj9V3G-c,
"VTU Physics for EEE stream-Previous year question paper -QFET, Dielectrics and Superconductors",mxklhoj83yc,
5 Marks problems on Combination of resistors and branch currents in Kannada for II PUC,RkFmHOZuoJ8,
"5 Marks problems on current electricity, Resistance, resistivity,terminal p.d in Kannada for II PUC",-9XIfE9_yuQ,
VTU -Applied Physics for EEE stream-Previous year question paper discussion-Quantum Mechanics,SCQIyEgmqGE,
5 Marks problems on combination of capacitors and current electricity in Kannada for II PUC,fnCXR3Go1hA,
5 Marks problems on series and parallel combination of capacitors in Kannada for II PUC,zZqWDn2b74Q,
5 Marks problems on capacitors and combination of capacitors in Kannada for II PUC,kkJUAo8njDc,
"5 Marks Problems on Extended charges, Potential due to point charge in Kannada for II PUC",D3NJgtWEgJE,
"Problems on Potential due to point charge, dipole, capacitors in Kannada for II PUC and Class 12",5gzselg2zSQ,
VTU Previous year question paper discussion on Electrical conductivity and Superconductor-CSE stream,5Ne-RTrH-Ek,
VTU Previous year question paper discussion on Quantum Computation-CSE stream,4HR6hcbKkbU,
"Optical instruments, simple microscope, compound microscope, telescope in Kannada for II PUC",ZRe8Wht2f-8,Optical Instruments | Ray Optics Part 10 | 2nd PUC in Kannada
VTU Previous year question paper discussion-Quantum Mechanics –CSE stream,q_DBKec8F0w,
VTU Previous year question paper discussion-Laser and Optical Fibers –CSE stream,BsCaE9jkegw,
"Prism, angle of deviation and expression for angle of deviation in Kannada for II PUC",Q1IJnyusjy4,"Prism, Angle of Deviation and Expression | Ray Optics Part 9 | 2nd PUC in Kannada"
"Combination of lenses, magnification and power of a lens in Kannada for II PUC and class 12",hFXLVgweZTY,"Combination of Lenses, Magnification and Power | Ray Optics Part 8 | 2nd PUC in Kannada"
"Lens makers formula and lens formula, image formation in lens in Kannada for II PUC",qnjCj3G47a8,
Refraction at curved surface  in Kannada for II PUC,L74oXC-xwRk,
LASER-VTU syllabus. Semiconductor Laser -Conditions & requirements for laser-VTU Phy for CSE stream,AfviTAOy4QM,
Einstein  theory of A and B co efficients -VTU Phy for CSE stream,m9W4_RpfjlQ,
"Characteristics of Laser, Interaction of Radiation with matter-VTU Phy for CSE stream",v413iA8GOd8,
"Lateral shift Normal shift, total internal reflection optical Fiber in Kannada for II PUC  class 12",97CmylL9KnU,
Numerical Problems from electrostatics in Kannada for II PUC and Class 12-Part-4,_bx-oVmEyAw,
Numerical Problems from electrostatics in Kannada for II PUC and Class 12-Part-3,Mm17ZXtse7I,
Problems from electrostatics in Kannada for II PUC and Class 12-Part-2,oG8pQjkZBhg,
Problems from electrostatics in Kannada for II PUC and Class 12-Part-1,Ta3FmdhZnpA,
Physics Model Paper problems -2025 in Kannada- II PUC and class 12 part-5-Paper-III,OsQE2MTDXOY,
Physics Model Paper numerical problems -2025 in Kannada- II PUC and class 12 Paper-II & III,205V-rC87Ao,
Physics Numerical problems from Model Paper -2025  in Kannada- II PUC and class 12 part-3-Paper-II,b298nNMKN0o,
"Physics Numerical problems from Model Paper -2025 discussion in Kannada- II PUC, class 12 part-2",1zY7n7Cs7x0,
Physics Model Paper -2025 Numerical problems  discussion in Kannada- II PUC and class 12 part-1,zzdlfYVK1F4,
Physics Model Paper MCQ-2025 discussion in Kannada- II PUC and class 12 part-3,qGCQhV5_uZY,
Physics Model Paper 2025 discussion in Kannada- II PUC-part-2,_zEjfzPWUEc,
Physics Model Paper 2025 discussion in Kannada- II PUC-part-1,O9oSGawprbs,
"Nuclear fission, fusion and stellar energy in Kannada II PUC",bbQdliaaxR8,
"Nuclear force, radioactivity, alpha, beta and gamma ray properties in Kannada II PUC",-odKuxZDEuQ,
"Einstein mass energy relation, binding energy curve in Kannada II PUC",KPHKlr7OOa8,
"Nucleus size, mass, density and mass defect in Kannada II PUC",dQ7aLmV8NzA,
"Properties of nucleus, isotope and isobars in Kannada II PUC",fhwh5r6gik0,
EM waves and displacement current in Kannada II PUC,kYjCr0hmims,
"Maxwell theory, Displacement current, EM waves in Kannada- II PUC",i8ox6V_yvqQ,
polarization of light in Kannada for 2nd PUC,bmoZuwDViAg,
8. Diffraction of light in Kannada-II PUC,buKTYGrHjG8,
Youngs double slit experiment in Kannada for II PUC,jYl6KKSajAs,
Constructive and destructive interference in Kannada-II PUC,L0YOc_DZo2c,
"Path difference, phase difference and interference in Kannada-II PUC",XtosMlBddXg,
Coherent waves and Interference of light in Kannada-II PUC,DWwSXOi5WiM,
Reflection of light using Huygens theory in Kannada-II PUC,wjZ0kuphPzM,
"Wave fronts, wavelets and refraction of light in Kannada-II PUC",DRSAMH1sgQI,
Corpuscular theory & Huygens wave theory and wave fronts in Kannada-II PUC,2zvKti-roQU,
K-CET-2024-PHYSICS IN KANNADA,muJ_l8UgZ88,
K-CET-2024-PHYSICS IN KANNADA,xC_l39lrkS4,
K-CET-2024-PHYSICS IN KANNADA,7yKe4s5_H38,
K-CET-2024-PHYSICS IN KANNADA,CK_RY_n8VU0,
K-CET-2024-PHYSICS IN KANNADA,QBcGWJn3pVA,
K-CET-2024-PHYSICS IN KANNADA,R5eS9UFVM0Q,
K-CET-2024-PHYSICS IN KANNADA,hsCHY4YpjGw,
K-CET-2024-PHYSICS IN KANNADA,aGFA6jnzPlY,
K-CET-2024-PHYSICS IN KANNADA,KcLhcLMf17o,
K-CET-2024-PHYSICS IN KANNADA,H8umv2TN3Uc,
K-CET-2024-PHYSICS IN KANNADA,OvR-cvav2KM,
K-CET-2024-PHYSICS IN KANNADA,2fWsMvnooLY,
K-CET-2024-PHYSICS IN KANNADA,wzKZKuublpE,
K-CET-2024-PHYSICS IN KANNADA,UzWAjcJfHC8,
K-CET-2024-PHYSICS IN KANNADA,NG9kcw0rjY4,
K-CET-2024-PHYSICS IN KANNADA,rDBe2Rp8nFI,
K-CET-2024 PHYSICS YOUTUBE ONLINE CLASSES-KANNADA,UUzreTHZUKc,
Nagaraj.D Live Stream,tPs1-3g4Mbs,Live Stream: Dr. Nagaraj D | 1st PUC in Kannada
Nagaraj.D Live Stream,Y9wplp6MscE,Live Stream: Dr. Nagaraj D | 1st PUC in Kannada
Torricelli’s law and Viscosity in Kannada-IPUC,yI6WmmRB4bA,
"Hydro dynamics, Equation of continuity, Bernoulli’s principle in Kannada-IPUC",nadrVp48poM,
"Pascal Law, Gauge pressure and atmospheric pressure I PUC Kannada",v6_F6Tx58nM,
MCQ on motion in a plane for I PUC in Kannada,hekqWW63V-A,
Mechanical properties of fluids I PUC Kannada,mVQrJ710RT0,Introduction | Mechanical Properties of Fluids Part 1 | 1st PUC in Kannada
MCQ on Motion in a straight line for I PUC in Kannada,Pa6XNjs30HM,
MCQ on units and dimensions for I PUC in Kannada,lPrpT1JUCBk,
"Hookes’ law, elastic moduli and stress-strain curve in Kannada-IPUC",qy844N_TjN0,"Hooke’s Law, Elastic Moduli and Stress-Strain Curve | Mechanical Properties of Solids Part 3 | 1st PUC in Kannada"
Types of stress and strain in Kannada- I PUC,BLkDAmlANVE,Types of Stress and Strain | Mechanical Properties of Solids Part 2 | 1st PUC in Kannada
Elastic properties of materials in Kannada –I PUC,JiJEK72xj6Q,Elastic Properties of Materials | Mechanical Properties of Solids Part 1 | 1st PUC in Kannada
Stationary waves and Beats in kannada –I PUC,Jfa4aoxj8k0,Stationary Waves and Beats | Waves Part 4 | 1st PUC in Kannada
P-N junction or diode and rectifier in kannada-II PUC,HhUeUpJgJr8,
Intrinsic and extrinsic semiconductors in kannada-II PUC,q-j3cot4MH4,
Principle of superposition of waves and reflection of waves in kannada –I PUC,AUSBn1_Fnp8,Superposition of Waves and Reflection of Waves | Waves Part 3 | 1st PUC in Kannada
Classification of materials based on Band theory of solids in kannada-II PUC,xpd1-yfGqrg,
Velocity of wave in solid and fluid media (Newton and Laplace formula) in kannada –I PUC,WFvBUG_wggc,Velocity of Wave in Solid and Fluid Media | Waves Part 2 | 1st PUC in Kannada
"Mechanical, non mechanical, longitudinal and transverse waves in Kannada –I PUC",2BY11G1MOVc,
Simple Pendulum and SHM in kannada for I PUC,fskLgLQi8k8,
Hookes’ law and Energy in SHM in kannada for I PUC,RIqTql5Oixw,Hooke’s Law and Energy in SHM | Oscillations Part 3 | 1st PUC in Kannada
Simple harmonic motion in kannada for I PUC,hwI0q5j9hA4,Simple Harmonic Motion | Oscillations Part 2 | 1st PUC in Kannada
"Refraction at plane surface, Snell’s law and refractive index in kannada-2nd PUC",8udtoHGoMtk,"Refraction at Plane Surface, Snell’s Law and Refractive Index | Ray Optics Part 2 | 2nd PUC in Kannada"
Mirror equation and image formation in kannada-2nd PUC,zWAWrQ1g5XA,Mirror Equation and Image Formation | Ray Optics Part 3 | 2nd PUC in Kannada
Satellites and energy of satellites in Kannada-I PUC,MgYjXk2AVPY,Satellites and Energy of Satellites | Gravitation Part 4 | 1st PUC in Kannada
Gravitational potential energy and escape velocity in Kannada-I PUC,RAYWMHRSjOQ,Gravitational Potential Energy and Escape Velocity | Gravitation Part 3 | 1st PUC in Kannada
Newton’s Gravitational law and variation of g in Kannada-I PUC,Tc8e_WtQqs0,Newton’s Gravitational Law and Variation of g | Gravitation Part 2 | 1st PUC in Kannada
Reflection at spherical surface and sign convention in kannada-2nd PUC,J-CW8mGenaE,Reflection at Spherical Surface and Sign Convention | Ray Optics Part 2| 2nd PUC in Kannada
Reflection at plane surface in kannada-2nd PUC,P1snz3BluXM,Reflection at Plane Surface | Ray Optics Part 1 | 2nd PUC in Kannada
Kepler’s laws of planetary motion in Kannada-I PUC,9X0BQnSOyNI,Kepler’s Laws of Planetary Motion | Gravitation Part 1 | 1st PUC in Kannada
"Classification of magnetic materials-dia, para, ferro in kannada for 2nd PUC",6YAuBgL1kAc,
4. Mid term exam Physics paper for I PUC in kannada-part-4,OyCeqFODilk,Mid-Term Exam Paper | Exam Prep | Part 4 | 1st PUC in Kannada
Mid term exam Physics paper for I PUC in kannada-part-3,nvwH1U1OGPY,Mid-Term Exam Paper | Exam Prep | Part 3 | 1st PUC in Kannada
Mid term exam Physics paper for I PUC in kannada-part-2,IUUomhfed1w,Mid-Term Exam Paper | Exam Prep | Part 2 | 1st PUC in Kannada
Mid term exam Physics paper for I PUC in kannada-part-1,6E6rs7snGZo,Mid-Term Exam Paper | Exam Prep | Part 1 | 1st PUC in Kannada
CET questions on electrostatic potential in kannada-Class-12-part-1,QSR-qalDJZw,
Numericals on Maxwells equations and EM waves,TmjAqKCRSuc,
"Maxwell equations, displacement current and equation EM wave-VTU Physics",HZE7Pz1cXvY,
"Earth magnetic properties-declination, inclination dip in kannada for class-12",ya259RQ3EZA,Earth Magnetic Properties | Magnetism and Matter Part 2 | 2nd PUC in Kannada
"Del operator, gradient, divergence and curl-VTU Physics",QUr10m8a0tk,
Magnetic field lines and gauss theorem in magnetism in Kannada for class-12,DLvl5TorVNM,Magnetic Field Lines and Gauss Theorem in Magnetism | Magnetism and Matter Part 1 | 2nd PUC in Kannada
"Circular motion, banking of roads and rolling friction in kannada-Class-11",wN3CkZ1E-p8,"Circular Motion, Banking of Roads and Rolling Friction | Laws of Motion Part 5 | 1st PUC in Kannada"
CET questions on Gauss theorem and dipoles in Kannada,GOnOsovj3vY,
4. Friction and its advantages and disadvantages in kannada-Class-11,CW_6jsyK2-g,Friction and its Advantages/Disadvantages | Laws of Motion Part 4 | 1st PUC in Kannada
CET questions on extended charges and Gauss theorem in Kannada-Class-12-part-6,u9dpsf1-mYw,
CET questions on lines of force and Gauss theorem in Kannada-Class-12-part-5,ILLN-ffefrs,
Law of conservation of momentum in kannada-Class-11,V1a2XN4AY6I,Law of Conservation of Momentum | Laws of Motion Part 3 | 1st PUC in Kannada
CET questions on Electric field intensity in Kannada-Class-12-part-4,-TWI0CNSr3Y,
CET questions on Coulomb’s law in Kannada-Class-12-part-3,MkrWymxaYGs,
CET questions Coulomb’s law in Kannada-Class-12-part-2,zPGZWvhSUiM,
Newton’s laws of motion and impulse in kannada class-11,8vSGvBV0ICo,Newton’s Laws of Motion and Impulse | Laws of Motion Part 2 | 1st PUC in Kannada
CET questions on electrostatics-in Kannada-Class-12-part-1,Yv38I7q8qYU,
"Aristotle fallacy, inertia and laws of motion in Kannada-class-11",vKzMIoxQ-a8,"Aristotle Fallacy, Inertia and Laws of Motion | Laws of Motion Part 1 | 1st PUC in Kannada"
circular motion in kannada for class-11,ypXSlZ1JyVk,
"Projectile motion Height, time of flight and range in kannada class-11",EqTDvSTI0Vs,
Projectile motion in kannada class-11,XD8nRNQqPR8,
Motion in plane-unit vector and vector resolution in kannada class-11,AtHVx6H7alc,Unit Vector and Vector Resolution | Motion in a Plane Part 3 | 1st PUC in Kannada
Vector addition and subtraction in Kannada for class-11,sH7wZHWPIfQ,Vector Addition and Subtraction | Motion in a Plane Part 2 | 1st PUC in Kannada
"Scalars and vectors, types of vectors in kannada for class -11",5qrKcQSSXL4,Scalars and Vectors | Motion in a Plane Part 1 | 1st PUC in Kannada
Atoms-Hydrogen spectral series-in kannada for class 12,ez6-ySjVbOQ,Hydrogen Spectral Series | Atoms Part 5 | 2nd PUC in Kannada
Atoms-Bohr theory & Hydrogen energy level diagram kannada class 12,x3e6yDaNu5U,Bohr Theory and Hydrogen Energy Level Diagram | Atoms Part 4 | 2nd PUC in Kannada
Atoms-Bohr atomic model in kannada class 12,YKtl7c0H0RA,Bohr Atomic Model | Atoms Part 3 | 2nd PUC in Kannada
Atoms-Rutherford model and Alpha particle scattering in kannada class 12,V8OXMhhaWZg,Rutherford Model and Alpha Particle Scattering | Atoms Part 2 | 2nd PUC in Kannada
Atoms-Thomson Plum pudding model in kannada class 12,pn4y3f3BJjo,Thomson Plum Pudding Model | Atoms Part 1 | 2nd PUC in Kannada
Dual nature of radiation-De Broglie matter waves in kannada for class 12,VPxTYjzvS5I,De Broglie Matter Waves | Dual Nature of Radiation and Matter Part 4 | 2nd PUC in Kannada
Dual nature of radiation- Einstein's theory of PEE in kannada for Class-12,QeDmNc64dxY,Einstein's Theory of PEE | Dual Nature of Radiation and Matter Part 3 | 2nd PUC in Kannada
Dual nature of radiation-Photoelectric effect in kannada for Class-12,TSsP8ZHQDi4,Photoelectric Effect | Dual Nature of Radiation and Matter Part 2 | 2nd PUC in Kannada
Dual nature of light in kannada for Class-12,5Mt0mCOYs1w,Birth of Modern Physics | Dual Nature of Radiation and Matter Part 1 | 2nd PUC in Kannada
AC circuits-AC transmission and transformers In kannada class -12,pP1-RrCmBvg,AC Transmission and Transformers | AC Circuits Part 7 | 2nd PUC in Kannada
AC circuits-LCR Resonance and electrical resonance In kannada for class -12,b1ZfJmsFam8,LCR Resonance and Electrical Resonance | AC Circuits Part 6 | 2nd PUC in Kannada
AC circuits-LCR circuit and Impedance In kannada for class -12,mW-eUahGgPc,LCR Circuit and Impedance | AC Circuits Part 5 | 2nd PUC in Kannada
Applications of Laser-Engineering Physics VTU EEE stream,M3Bj5mV8sz8,
Laser and its applications for VTU engineering students,bZFxXkjfmSY,
Laser and optical fiber for VTu students-Part-1,y-2z-ejbi1k,
AC circuits- Capacitor in AC circuit In kannada for Class-12,Pg_2RrSm2xw,Capacitor in AC Circuit | AC Circuits Part 4 | 2nd PUC in Kannada
Modern Phy and Quantum Mechanics part-3,AO7FvQWHLzk,
Modern Phy and Quantum mechanics for Engineering students-part-2,Zv-WEoKGmp8,
Modern Physics and Quantum mechanics for VTU EEE stream,qJX3YTo1gt0,
AC circuits-Inductor in AC circuit  In kannada for Class-12,VyC7ZoPKDtM,
AC circuits-RMS current in Kannada for class-12,GIUNn4cKpN0,RMS Current | AC Circuits Part 2 | 2nd PUC in Kannada
"AC circuits-Peak voltage, peak current, rms voltage phasor diagram in kannada class-12",pcn-18Oy7Hk,"Peak Voltage, Peak Current, RMS Voltage Phasor Diagram | AC Circuits Part 1 | 2nd PUC in Kannada"
Electromagnetic induction-Mutual Inductance and AC generator for Class 12 in kannada,QkGFeI8F9xc,Mutual Inductance and AC Generator | Electromagnetic Induction Part 5 | 2nd PUC in Kannada
Electromagnetic induction-Inductance and inductor for Class 12 in kannada,wP_Dg3S_dM8,Inductance and Inductor | Electromagnetic Induction Part 4 | 2nd PUC in Kannada
Electromagnetic induction-Motional emf and eddy currents for Class 12 in kannada,9gEPYTREx-Q,Motional EMF and Eddy Currents | Electromagnetic Induction Part 3 | 2nd PUC in Kannada
Electromagnetic induction-Coil-Coil Experiment and Lenz law for Class 12 in kannada,3IHsL7HC07c,Coil-Coil Experiment and Lenz law | Electromagnetic Induction Part 2 | 2nd PUC in Kannada
Electromagnetic induction-Coil-Magnet experiment and Faraday’s laws of EMI in Kannada,g-5Ux2iBgBQ,Coil-Magnet Experiment and Faraday’s Laws of EMI | Electromagnetic Induction Part 1 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Conversion of galvanometer to ammeter & voltmeter Class-12,iWKXDYiWuTg,Conversion of Galvanometer to Ammeter and Voltmeter | Moving Charges and Magnetism Part 9 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Moving coil galvanometer for class 12,wVWndZMMVxs,Moving Coil Galvanometer | Moving Charges and Magnetism Part 8 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Force between two conductors and torque class-12,HCJQ4A3Y3z0,Force between Two Conductors and Torque | Moving Charges and Magnetism Part 7 | 2nd PUC in Kannada
Moving charges and magnetism in kannada--Force on a current carrying conductor for class 12,x-D2XL8vxjk,Force on a Current Carrying Conductor | Moving Charges and Magnetism Part 6| 2nd PUC in Kannada
Moving charges and magnetism in kannada-Force acting on a charged particle for class 12,n-UUPt9Uexo,Force acting on a Charged Particle | Moving Charges and Magnetism Part 5 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Ampere’s circuital law for class-12,LWSeeMMzq84,Ampere’s Circuital Law | Moving Charges and Magnetism Part 4 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Ampere’s circuital law and solenoid class-12,MAi1AweE5yk,Ampere’s Circuital Law and Solenoid | Moving Charges and Magnetism Part 3 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Biot Savart law and applications class-12,aYR9MUj21mY,Biot-Savart Law and Applications | Moving Charges and Magnetism Part 2 | 2nd PUC in Kannada
Moving charges and magnetism in kannada-Thumb rule or right hand rule class-12,2yGlIi6NSUQ,Thumb Rule or Right Hand Rule | Moving Charges and Magnetism Part 1 | 2nd PUC in Kannada
Electric current in kannada-Kirchhoff law problems class-12,Bf_gTbPOZl4,Kirchhoff Law Problems | Current Electricity Part 15 | 2nd PUC in Kannada
Electric current in kannada- Wheatstone bridge Problems Class -12,swGKw7mi1SA,Wheatstone Bridge Problems | Current Electricity Part 14 | 2nd PUC in Kannada
Meter Bridge and its working in Kannada- II PUC PHYSICS in Kannada,CN_eTigQR1g,Meter Bridge and its Working | Current Electricity Part 13 | 2nd PUC in Kannada
Wheatstone network and balancing condition- II PUC PHYSICS in Kannada,pkj-Uh9e57A,Wheatstone Network and Balancing Condition | Current Electricity Part 12 | 2nd PUC in Kannada
